"","Truth","Bias","RMSE","ASE","ESE","Cov","Bias","RMSE","ASE","ESE","Cov","RMSERatio"
"mu",0.363414384921836,0.000218877642053639,0.00953863602431208,0.00959060241218983,0.00954089610469551,0.96,0.000206106545300455,0.00949562809168165,0.0095252375779704,0.00949814127264662,0.955,1.00452923516119
"mu_1",0.242263982148139,-0.00201214613158257,0.00955365661492604,0.009312013549487,0.00934403197739991,0.93,-0.0134024965962145,0.0163055630192969,0.00923205068399678,0.0092914369806768,0.683,0.585913936465715
"mu_0",0.529510203804188,0.00475051551932548,0.0129825607526079,0.0122656001940058,0.0120882427013777,0.933,0.030129584563591,0.0326469608771305,0.0129574909008659,0.012577375676874,0.353,0.397665216112117
"de",-0.28724622165605,-0.00676266165090778,0.0130747632984874,0.0113003995215649,0.0111955876974237,0.908,-0.0435320811598052,0.0453447824905281,0.0128750849357591,0.0126991526286963,0.068,0.288341074327979
"se_1",0,0,0,0,0,0,0,0,0,0,0,NA
"se_0",0,0,0,0,0,0,0,0,0,0,0,NA
"oe",0,0,0,0,0,0,0,0,0,0,0,NA
"te",-0.28724622165605,-0.00676266165090778,0.0130747632984874,0.0113003995215649,0.0111955876974237,0.908,-0.0435320811598052,0.0453447824905281,0.0128750849357591,0.0126991526286963,0.068,0.288341074327979
