"","Truth","Bias","RMSE","ASE","ESE","Cov","Bias","RMSE","ASE","ESE","Cov","RMSERatio"
"mu",0.435712184899413,0.00297031382300916,0.0154903362692793,0.0144451954027696,0.0152104935041842,0.939,0.0127757786121703,0.0212464632557679,0.0164056032208366,0.0169847037623092,0.851,0.729078345078166
"mu_1",0.263730249149118,-0.000764121776381965,0.0149899807082629,0.0148163725326156,0.0149779831594403,0.949,-0.0094675339982081,0.0184313876203083,0.0159786116748866,0.0158218893241172,0.896,0.813285522341597
"mu_0",0.554679969376548,0.0063343465849377,0.0225198061897681,0.0194036783543528,0.021621406276558,0.916,0.035181721488399,0.0427726877516744,0.0226071344501824,0.0243380696080688,0.574,0.526499674757675
"de",-0.29094972022743,-0.00709846836131983,0.0242055515072434,0.0213852079152682,0.0231528945754171,0.936,-0.0446492554866073,0.0517027878924132,0.0245179449089726,0.0260826103544573,0.466,0.468167239987369
"se_1",0.0214662670009798,0.00124802435520039,0.0117624421134138,0.0112110450300982,0.0117018978842891,0.937,0.00393496259800616,0.01361822286926,0.01283529855462,0.0130438570091366,0.943,0.863728125640005
"se_0",0.0251697655723605,0.00158383106561222,0.0175300288297066,0.0147564195763434,0.0174670686840798,0.931,0.00505213692480802,0.0210909503282535,0.0181274492188177,0.0204871623721762,0.916,0.831163534922528
"oe",0.0722977999775776,0.00275143618095576,0.0119303827703991,0.0102485095651982,0.0116145826666688,0.919,0.0125696720668701,0.0188164135744801,0.012848503492789,0.0140091763126239,0.769,0.634041270573462
"te",-0.26577995465507,-0.00551463729570745,0.0170552940294981,0.016000316321876,0.0161472153169492,0.933,-0.0395971185617991,0.0434313360666884,0.0180053667632592,0.0178512694776145,0.389,0.392695587428163
