"","Truth","Bias","RMSE","ASE","ESE","Cov","Bias","RMSE","ASE","ESE","Cov","RMSERatio"
"mu",0.300003144084803,-0.00264616509111582,0.0130351191998236,0.0126895558957488,0.0127700907624908,0.949,-0.00997113069438604,0.0168649394354456,0.0132693494866259,0.0136083769333261,0.871,0.772912304234385
"mu_1",0.223885097128672,-0.00388071358853814,0.014243893445045,0.0136880578641691,0.0137119137649209,0.937,-0.0169927405301288,0.022441195215541,0.0143813887554539,0.0146652337539773,0.759,0.634720802891139
"mu_0",0.507091013403979,0.00304877572020634,0.0175621600097163,0.0173134096181257,0.0173041574391658,0.945,0.0245530801882092,0.0309162041025831,0.0191252138596836,0.0187965752365842,0.756,0.568056801263287
"de",-0.283205916275307,-0.00692948930874432,0.0191935444626947,0.0185663801238304,0.0179079597381561,0.942,-0.0415458207183378,0.0460953007692585,0.020844290503215,0.0199780042672595,0.456,0.416388311658335
"se_1",-0.0183788850194663,-0.00186856745695556,0.0104634189678495,0.00994280136043416,0.0103003732867021,0.943,-0.00359024393391436,0.0122182596669785,0.0110162376711344,0.0116847143882527,0.934,0.85637556027135
"se_0",-0.0224191904002092,-0.00170173979911914,0.0121844401240492,0.0121911980807543,0.012071055180298,0.944,-0.00557650437538186,0.0152898053180872,0.0143740731238593,0.0142437224504552,0.925,0.796899624983158
"oe",-0.0634112408370324,-0.00286504273316944,0.00941711306971582,0.00880355484833455,0.00897519374764318,0.939,-0.0101772372396865,0.0145613784721254,0.0100546831481309,0.010419508209457,0.777,0.646718515540466
"te",-0.305625106675516,-0.00863122910786346,0.0172732518603338,0.0153963844737923,0.0149696761863181,0.921,-0.0471223250937197,0.0501172042014034,0.0174692131610201,0.0170737268009605,0.227,0.344657131928563
