"","Truth","Bias","RMSE","ASE","ESE","Cov","Bias","RMSE","ASE","ESE","Cov","RMSERatio"
"mu",0.70759290368951,-0.000313314271677356,0.0337810612728896,0.0330252837795627,0.0337965107522791,0.945,-0.000240002711427767,0.0337640376070518,0.032950234842036,0.0337800788625023,0.944,1.00050419520426
"mu_1",0.655280461384711,-0.000268704750319815,0.0373005903697169,0.0362263322161368,0.0373182863242775,0.944,-0.000175945291913115,0.0372767073868083,0.0361246338778359,0.037294944291763,0.945,1.00064069454045
"mu_0",0.845193894022749,-0.000303059382494975,0.0249057631488543,0.0249277028404174,0.024916380536839,0.959,-0.000319910515142685,0.0248915047495578,0.0249325557228001,0.0249019029539971,0.957,1.00057282191012
"de",-0.189913432638038,3.43546321751598e-05,0.0269687336859372,0.025879755662547,0.026982206281883,0.939,0.000143965223229681,0.0269738062243633,0.0257951581765986,0.0269869188688526,0.939,0.999811945767539
"se_1",-0.0176436711552615,0.000222463965290413,0.0300010583258217,0.0292184245310413,0.0300152448828738,0.942,0.000292256452195286,0.0299906297375581,0.0291276256896942,0.0300042115532535,0.943,1.00034772821894
"se_0",-0.0110154064235428,0.00011010101280305,0.0201195147783345,0.0202333566084391,0.0201292806782365,0.948,8.94571767272832e-05,0.0200793138586747,0.020238041911974,0.0200891616765251,0.953,1.0020021062444
"oe",-0.0439295750080221,0.000168931682666872,0.0276765799963004,0.0271998094084549,0.0276899128502034,0.951,0.000234781966473613,0.0276603618747597,0.0271360962506623,0.0276732055023203,0.949,1.00058633077955
"te",-0.200928839061581,0.000144455644978253,0.0358779778241784,0.0351700497478382,0.0358956393206906,0.942,0.000233422399956995,0.0358704185445079,0.0350780229211163,0.0358876073443504,0.939,1.00021073854104
