"","Truth","Bias","RMSE","ASE","ESE","Cov","Bias","RMSE","ASE","ESE","Cov","RMSERatio"
"mu",0.79664681042848,2.79073199022095e-05,0.0254767397784944,0.024391067045417,0.0254894724175833,0.949,7.16810326861772e-06,0.0254626154747961,0.0244212012336719,0.0254753553295099,0.947,1.00055470749705
"mu_1",0.691492699000289,-0.000753586835990916,0.0203210917791848,0.0202746803770824,0.0203172751531381,0.95,-0.000741890513491494,0.0202508075656546,0.020275460271048,0.0202473395854234,0.953,1.00347068694926
"mu_0",0.867651465536778,0.00038560726146375,0.0292191969690151,0.0279183625240547,0.029231271710273,0.941,0.000370989209498296,0.0291940677234059,0.0279619565257042,0.0292063172312336,0.945,1.00086076547631
"de",-0.176158766536489,-0.00113919409745486,0.0222981971657314,0.0224180638990052,0.0222802208672187,0.958,-0.00111287972298996,0.0222505796568994,0.022450084495305,0.0222338511717631,0.96,1.00214005700374
"se_1",0.0185685664603165,-0.000262418120380793,0.0164579464283287,0.016144258261194,0.0164640883006441,0.938,-0.000273688769383197,0.0164227396666404,0.0161267403746247,0.0164286753571232,0.945,1.00214378126932
"se_0",0.0114421650904856,0.000798767656761902,0.0242012595864078,0.0233453763528361,0.0242001773626473,0.942,0.000780356901368452,0.0241508780555809,0.0233804217599316,0.0241503456115059,0.944,1.00208611590481
"oe",0.0451243317309482,0.000510153274246236,0.0214023977927116,0.0206656301895292,0.021407023042679,0.939,0.000481952781169921,0.0213967928949162,0.0206806709244895,0.0214020680360773,0.942,1.00026195036905
"te",-0.164716601446003,-0.000340426440692987,0.0161791102591709,0.0161160676203852,0.0161836222226401,0.954,-0.000332522821621523,0.0161063049824415,0.0161219709901741,0.0161109295452289,0.952,1.00452029666698
