"","Truth","Bias","RMSE","ASE","ESE","Cov","Bias","RMSE","ASE","ESE","Cov","RMSERatio"
"mu",0.751522478697532,-0.000482245954344762,0.0175629341772817,0.0174151481048667,0.0175650968794206,0.948,-0.000474784677902074,0.0175965675694482,0.0174123306292281,0.0175989628452649,0.947,0.998088639046575
"mu_1",0.672924132539973,-0.00049116871561028,0.0179235858079396,0.0179236412708445,0.0179258198285017,0.945,-0.000468201744108443,0.0179435177123941,0.017906460713746,0.0179463836944807,0.945,0.998889186347186
"mu_0",0.856209300446292,-0.000413160395297929,0.0170337993138655,0.016827546523107,0.0170373086912294,0.944,-0.000409367691869944,0.017075240409505,0.0168482329789215,0.01707887411618,0.945,0.997573030033798
"de",-0.18328516790632,-7.80083203122395e-05,0.0126398302581713,0.0125685232623617,0.0126459140753108,0.946,-5.88340522383601e-05,0.0126600497113541,0.012573064881035,0.0126662477111153,0.948,0.998402893065681
"se_1",0,0,0,0,0,0,0,0,0,0,0,NA
"se_0",0,0,0,0,0,0,0,0,0,0,0,NA
"oe",0,0,0,0,0,0,0,0,0,0,0,NA
"te",-0.18328516790632,-7.80083203122395e-05,0.0126398302581713,0.0125685232623617,0.0126459140753108,0.946,-5.88340522383601e-05,0.0126600497113541,0.012573064881035,0.0126662477111153,0.948,0.998402893065681
