"","Truth","Bias","RMSE","ASE","ESE","Cov","Bias","RMSE","ASE","ESE","Cov","RMSERatio"
"mu",0.702925542143802,0.137078424351838,0.881927263736089,0.521377845214301,0.918334969204981,0.8,0.261034043835743,0.950801478258979,0.633974056795476,0.963722343034906,0.8,0.927561940007701
"mu_1",0.651389502203313,0.552134169502019,2.13241302438289,1.00280535658538,2.17110651906813,0.9,0.428876707864787,1.60105669546151,0.970824584471786,1.62598596123952,1,1.33187852149621
"mu_0",0.838379496794979,0.0549032684653584,0.729572078894908,0.379094111879725,0.766855809577769,1,0.0857664417528028,0.5560604195365,0.354326098581997,0.57912511375558,0.9,1.3120374212267
"de",-0.186989994591666,0.497230901036661,1.62662034477218,0.793649636229332,1.63253557969771,0.9,0.343110266111984,1.43498685861067,0.807358343505485,1.46873438702771,0.9,1.13354372202896
"se_1",-0.016449663234467,0.556830833411407,2.13586114118536,0.980935632193485,2.17353839456617,0.9,0.416941022999936,1.59973963311016,0.921895319919738,1.62799367903605,0.9,1.33513047809717
"se_0",-0.0139116306798999,0.0728028926427316,0.713459164166878,0.369548693840651,0.748126339417014,0.9,0.144248468773084,0.509370503101289,0.368157092964615,0.514944105581999,1,1.4006683932874
"oe",-0.0441340760963646,0.121416950349258,0.905130184433758,0.502775128327142,0.945467888250147,1,0.239354000505822,0.981718054754797,0.619779919946894,1.00359354403918,1,0.921985879805207
"te",-0.200901625271566,0.570033793679392,2.13199362302232,1.03228607979723,2.16550181063352,0.9,0.487358734885067,1.62304508062157,1.03579882755103,1.63188942887313,1,1.3135763439213
