"","Truth","Bias","RMSE","ASE","ESE","Cov","Bias","RMSE","ASE","ESE","Cov","RMSERatio"
"mu",0.792362451976649,-0.0195806095557673,0.376777513989396,0.339455589957293,0.396621698820108,0.9,-0.310946387696491,0.840633908904674,0.466609555063486,0.823257562491064,0.8,0.448206418987223
"mu_1",0.686000547132084,-0.0590621121529108,0.253380670802304,0.221775221372755,0.259729413138329,0.9,-0.133320159722191,0.382318544124133,0.260200884483158,0.377702416949943,0.9,0.662747530028351
"mu_0",0.864046329356463,-0.242820947348223,0.931011163065754,0.626752513143024,0.947405681779903,0.9,-1.31613434240026,3.30211379093805,1.43606555508687,3.19230774781051,0.7,0.28194399769648
"de",-0.178045782224378,0.183758835195313,0.835831690415218,0.540327623185296,0.859487770703525,0.7,1.18281418267807,3.01482741743673,1.3334935807855,2.92311382037561,0.9,0.277240310865243
"se_1",0.0181613816943043,-0.0543654482435231,0.288900465075509,0.222230156049625,0.299087272209832,0.9,-0.145255844587041,0.398182381125036,0.272487154273355,0.390796833052829,0.9,0.725548087434812
"se_0",0.0117552018815837,-0.22492132317085,0.879364513574921,0.562584424461595,0.896097927509372,0.9,-1.25765231537998,3.1836651597598,1.32637203448964,3.08293411885636,0.8,0.2762113694272
"oe",0.0453028337364817,-0.0352420835583476,0.389743552105965,0.307470155603601,0.409142778602941,0.9,-0.332626431026413,0.906551913417041,0.438722674821702,0.888941961049282,0.8,0.429918624998447
"te",-0.166290580342795,-0.0411624879755377,0.246722140437996,0.166845788325427,0.25642296691636,0.7,-0.0748381327019097,0.280409862404894,0.223577022884951,0.284856581511981,0.9,0.879862563755853
