"","Truth","Bias","RMSE","ASE","ESE","Cov","Bias","RMSE","ASE","ESE","Cov","RMSERatio"
"mu",0.747059618240167,0.0156614740025801,0.281573165170491,0.183997423049007,0.296344704649079,0.7,0.0216800433299209,0.199199453822511,0.176861124112003,0.208727355722987,0.9,1.41352378115141
"mu_1",0.66783916543778,-0.0046966639093875,0.277645262187557,0.181948700088806,0.29262192703464,0.7,0.0119356848648505,0.187902773182715,0.171274295156711,0.197666924104841,0.9,1.47760066275114
"mu_0",0.852291127474879,-0.0178996241773729,0.221687178974723,0.191842478217768,0.232915837866336,0.9,-0.0584820270202807,0.197171334012527,0.218792710912025,0.198484221236513,1,1.12433777498629
"de",-0.184451962037099,0.0132029602679855,0.196286199840133,0.157536855400176,0.206435230864423,0.8,0.0704177118851313,0.223417153265982,0.178100987227071,0.223498869562983,0.7,0.87856369562838
"se_1",0,0,0,0,0,0,0,0,0,0,0,NA
"se_0",0,0,0,0,0,0,0,0,0,0,0,NA
"oe",0,0,0,0,0,0,0,0,0,0,0,NA
"te",-0.184451962037099,0.0132029602679855,0.196286199840133,0.157536855400176,0.206435230864423,0.8,0.0704177118851313,0.223417153265982,0.178100987227071,0.223498869562983,0.7,0.87856369562838
