"","Truth","Bias","RMSE","ASE","ESE","Cov","Bias","RMSE","ASE","ESE","Cov","RMSERatio"
"mu",0.434156127390863,0.0338463336953279,0.175345427948667,0.136095519299139,0.181354302702643,0.7,-0.0912806492163912,0.149392863601383,0.162919171260601,0.124659851746242,0.7,1.17372024152728
"mu_1",0.260608963895586,-0.070458715257707,0.124430686106796,0.0997184740556807,0.108107791317747,0.9,-0.102106732905417,0.148027370290241,0.102562699096524,0.11297156697558,0.6,0.840592424649722
"mu_0",0.553942133605101,0.0353160826166594,0.341003617473021,0.227221585115516,0.357516497580958,0.7,-0.237682583900305,0.562435216411411,0.378358186884711,0.537318819045313,0.8,0.606298481181133
"de",-0.293333169709515,-0.105774797874367,0.353280163424963,0.228474563986858,0.35530670007162,1,0.135575850994888,0.489740260010603,0.373298361486682,0.496056348616281,1,0.721362306250489
"se_1",0.0203476217254866,-0.0145664067129425,0.137866309713576,0.109291339604083,0.144510434646364,0.7,-0.0565394828785119,0.142523248575382,0.117160939378795,0.137905616920134,0.9,0.967325058133638
"se_0",0.0274717815447548,0.00980315913490002,0.310093176998125,0.188810570791784,0.326703529368696,0.8,-0.219020022829259,0.604440392573975,0.322241398701331,0.593837255834039,0.8,0.513025239226006
"oe",0.0730825412219915,0.0440618872825299,0.187019992998679,0.136682001744323,0.191587020757112,0.7,-0.0717133003689098,0.197421337881337,0.169764416139213,0.19388538195157,0.9,0.947313978345591
"te",-0.26586138816476,-0.0959716387394665,0.206085653208344,0.147680950289318,0.192240419544472,0.8,-0.083444171834371,0.185117898568418,0.158894090737214,0.17418287502655,0.9,1.11326703037403
