"","Truth","Bias","RMSE","ASE","ESE","Cov","Bias","RMSE","ASE","ESE","Cov","RMSERatio"
"mu",0.298083418048754,-0.118751284250715,0.2385489343339,0.225763937830958,0.218081856600898,1,-0.0854658255451344,0.26451024358779,0.234614321661764,0.263862888693605,1,0.901851403175343
"mu_1",0.221732100113337,-0.204155522366752,0.432863533929707,0.32030807541805,0.40234225576032,0.9,-0.181767470647264,0.360228790393474,0.284693996020173,0.32783018646658,0.9,1.20163503160559
"mu_0",0.505503854072758,-0.0187282776171575,0.19973873831604,0.202854392552816,0.209615561343401,0.9,0.0407279583579983,0.281567423924383,0.220216579792757,0.293676783070932,0.9,0.709381559600024
"de",-0.283771753959421,-0.185427244749595,0.508468352297664,0.349904592723569,0.499062234142836,0.9,-0.222495429005262,0.337950626935389,0.269849141102779,0.268134316088426,0.9,1.50456401548524
"se_1",-0.0185292420567625,-0.148263213821988,0.386305704388059,0.263098108754126,0.376017311466034,1,-0.136200220620359,0.280498422109435,0.239279893575048,0.258476013735314,0.9,1.37721168441134
"se_0",-0.0209664979875881,-0.044241201098917,0.149198716114302,0.151663307139527,0.150196068211157,1,0.0593905194290442,0.138393029330458,0.198256249944911,0.131763242088938,0.9,1.07807970413049
"oe",-0.0629901681201173,-0.108535730663513,0.239013334669685,0.188041364383099,0.224468184628221,1,-0.0658984766976529,0.170419523960403,0.207599677491422,0.165664335717402,1,1.4024997201918
"te",-0.304738251947009,-0.229668445848512,0.51166990519586,0.35484248882918,0.481961843654165,0.9,-0.163104909576218,0.291129562869633,0.343109241165751,0.254194175230052,0.9,1.75753331318326
