"","Truth","Bias","RMSE","ASE","ESE","Cov","Bias","RMSE","ASE","ESE","Cov","RMSERatio"
"mu",0.424190375547845,-0.838749083971239,1.98188623995077,1.29530912930173,2.19921794358026,0.666666666666667,-0.435553668665802,4.6733529031674,3.13803982665075,5.6987525423449,1,0.424082298301831
"mu_1",0.252849836898975,-0.73184576846513,1.65176152244051,1.0663412271389,1.81358122158673,1,-0.506245871972547,2.89734997098027,1.95847292376175,3.49392729706489,1,0.570093892344549
"mu_0",0.542372238185608,-0.716888454579322,1.87597224416208,1.21832244743997,2.12320846994262,0.666666666666667,5.95515865675883,14.1960899901096,6.83277332951404,15.7828256205972,1,0.132147108497415
"de",-0.289522401286633,-0.0149573138858078,0.460591567323792,0.274590867872475,0.563809636292838,0.333333333333333,-6.46140452873138,12.2237000626293,4.92437779404743,12.7084083230679,1,0.0376802085263796
"se_1",0.0206323760071731,0.0517016026097235,0.969760066215666,0.680327154339684,1.18601951732309,1,0.128187603670519,2.23624700769799,1.50934001978221,2.7343286061765,1,0.4336551654971
"se_0",0.0259531430615874,0.449513357523725,0.876337692793859,0.680453281189635,0.921335031260897,1,6.52152870807413,12.6239760625173,4.99489060282521,13.2382647052083,0.666666666666667,0.0694185166744613
"oe",0.0719763935589199,0.141826409178695,0.686859071073827,0.467211232493947,0.823098402236219,1,0.620513743614668,3.29009946117125,1.8873563153901,3.95721818169999,1,0.208765442862724
"te",-0.263569258225046,0.434556043637918,0.523900675495662,0.793428739942314,0.358398443193964,1,0.0601241793427505,0.444049448759426,0.741016750255047,0.53883902420191,1,1.17982507794869
