"","Truth","Bias","RMSE","ASE","ESE","Cov","Bias","RMSE","ASE","ESE","Cov","RMSERatio"
"mu",0.289192892849599,-4.2016567076367,7.18094343750198,4.21529810852457,7.13218370105969,1,-0.522556415780736,1.09250873362109,0.906211981381215,1.17505965297389,1,6.5728933934477
"mu_1",0.213672074482349,-20.3555629763733,35.161535114775,16.0023560195054,35.1137709640204,1,-1.68962219644981,3.01698808368202,1.44239672867615,3.061223757832,1,11.6545157420254
"mu_0",0.494099439850404,-1.10673543098138,1.84468728042295,1.44402767005264,1.80748769637499,1,0.089800273408377,0.466668369787083,0.759510760310807,0.560868003529593,1,3.95288688895839
"de",-0.280427365368055,-19.248827545392,33.3191834416435,15.3001524690982,33.3087966612196,1,-1.77942246985819,2.71220173468841,1.38402824504775,2.50689865872474,1,12.2849207769094
"se_1",-0.0185453864094529,-19.5720156052985,34.7268656678941,16.1877022599722,35.1331340246337,1,-1.05518872080675,2.99694474786984,1.65845042787652,3.43545948570206,1,11.5874227219495
"se_0",-0.0223196552736168,0.0596663811216641,2.67062913779448,2.03609891870367,3.27002291611253,1,0.656170324723675,2.71912381204469,1.89871984592129,3.23181252786586,1,0.982165330598262
"oe",-0.0630210891393258,-3.22108121448676,7.63239629509255,4.95148625017398,8.47450078308654,1,0.533510996499734,2.53735027603947,1.73318756640041,3.03813572111207,1,3.00801839114066
"te",-0.302747020641672,-19.1891611642703,35.3156119113653,17.2613187501004,36.3105054733302,1,-1.12325214513452,4.14616732717458,3.04442486739462,4.88809903593115,1,8.51765235809508
