"","Truth","Bias","RMSE","ASE","ESE","Cov","Bias","RMSE","ASE","ESE","Cov","RMSERatio"
"mu",0.352213981988925,-0.980575493149934,1.7314936315244,1.64765656029469,1.7478022906968,1,-1.05606741228047,2.06020448697453,1.54293562484369,2.16650553271941,1,0.840447461633847
"mu_1",0.232217460891802,-0.783547371074853,1.03525087664318,1.09354427565075,0.828671733745174,1,-0.634433475643066,0.904860131746125,0.840934553406818,0.790189239682881,1,1.1441004419605
"mu_0",0.51641909512402,-1.16640181210305,1.82424723443265,1.72984530962202,1.71786995363061,1,-0.566370051315298,2.60863991929691,2.01426166520433,3.11870819255084,1,0.699309713440377
"de",-0.284201634232219,0.382854441028194,1.08273139127593,1.27270854918493,1.2404009891801,1,-0.0680634243277684,1.90959280353193,1.46141011309331,2.33727791851003,1,0.56699595289286
"se_1",0,0,0,0,0,0,0,0,0,0,0,NA
"se_0",0,0,0,0,0,0,0,0,0,0,0,NA
"oe",0,0,0,0,0,0,0,0,0,0,0,NA
"te",-0.284201634232219,0.382854441028194,1.08273139127593,1.27270854918493,1.2404009891801,1,-0.0680634243277684,1.90959280353193,1.46141011309331,2.33727791851003,1,0.56699595289286
