"","Truth","Bias","RMSE","ASE","ESE","Cov","Bias","RMSE","ASE","ESE","Cov","RMSERatio"
"mu",0.361073586168872,-0.0102155535872019,0.0745702694636333,0.0988858971238203,0.0778628962613551,0.9,-0.0195673488474813,0.143124068501999,0.111505463935923,0.149449426018918,0.9,0.521018374087039
"mu_1",0.2402613421701,-0.0558923085447645,0.0873194189432402,0.0918148074987453,0.0707164193578984,0.9,-0.0455672500269049,0.101859408836642,0.100593073480118,0.0960264135742274,0.8,0.857254326728713
"mu_0",0.526470352060346,0.0255129234817595,0.115310876304446,0.141704853285969,0.118535924838155,1,-0.0186625610710458,0.169812226867191,0.160969689485249,0.177913528334112,0.9,0.679049314833085
"de",-0.286209009890246,-0.0814052320265241,0.151977087944296,0.133349361765179,0.135278410278524,0.8,-0.0269046889558591,0.130973379875274,0.162317076883352,0.135113795447235,0.9,1.16036623693321
"se_1",0,0,0,0,0,0,0,0,0,0,0,NA
"se_0",0,0,0,0,0,0,0,0,0,0,0,NA
"oe",0,0,0,0,0,0,0,0,0,0,0,NA
"te",-0.286209009890246,-0.0814052320265241,0.151977087944296,0.133349361765179,0.135278410278524,0.8,-0.0269046889558591,0.130973379875274,0.162317076883352,0.135113795447235,0.9,1.16036623693321
